Unique ID,Revised Name,Unique ID,Code,Category,Pieces,Quantity,Unit,Supplier,Remarks
182,METAL BODY - MCB PANEL,,,METAL BODY,1,,PCS,VIRAT BANGLORE OFFICE,
183,METAL BODY - SEMI AUTO (VIRAT),,,METAL BODY,1,,PCS,VIRAT BANGLORE OFFICE,
184,METAL BODY - SERIES AUTO,,,METAL BODY,1,,PCS,VIRAT BANGLORE OFFICE,
185,METAL BODY - SHETAKRI DISPLAY,,,METAL BODY,1,,PCS,VIRAT BANGLORE OFFICE,
186,METAL BODY - SHETAKRI STARTER,,,METAL BODY,1,,PCS,VIRAT BANGLORE OFFICE,
187,METAL BODY - STARDELTA,,,METAL BODY,1,,PCS,AUTO SECTION(JYOTI/LEENA/SNEHA),
188,METAL BODY - V2.0,,,METAL BODY,1,,PCS,AUTO SECTION(JYOTI/LEENA/SNEHA),
189,METAL BODY - V3 2PH PANEL,,,METAL BODY,1,,PCS,AUTO SECTION(JYOTI/LEENA/SNEHA),
190,METAL BODY - V3 2PH PANEL,,,METAL BODY,1,,PCS,OMKAR/AJAY,
191,METAL BODY - V3 DSP,.,,METAL BODY,1,,PCS,OMKAR/AJAY,
192,METAL BODY - V3 FA,,,METAL BODY,1,,PCS,AUTO SECTION(JYOTI/LEENA/SNEHA),
193,METAL BODY - V3 JUICE,,,METAL BODY,1,,PCS,AUTO SECTION(JYOTI/LEENA/SNEHA),
194,METAL BODY - V3 TOUCH,,,METAL BODY,1,,PCS,AUTO SECTION(JYOTI/LEENA/SNEHA),
195,METAL BODY - V3 TP,,,METAL BODY,1,,PCS,AUTO SECTION(JYOTI/LEENA/SNEHA),
196,METAL BODY - 19*19 CABIN,.,,METAL BODY,1,,PCS,MAULIKRUPA,
197,METAL BODY - 20*20 CABIN,,,METAL BODY,1,,PCS,MAULI KRUPA,
198,METAL BODY - 236 NO PANEL (RED RELAY),,,METAL BODY,1,,PCS,MAULI KRUPA,
199,METAL BODY - 30*30 CABIN,,,METAL BODY,1,,PCS,MAULI KRUPA,
200,METAL BODY - ABS DIGITAL,,,METAL BODY,1,,PCS,MAULI KRUPA,
201,METAL BODY - ALL IN ONE,,,METAL BODY,1,,PCS,MAULI KRUPA,
202,METAL BODY - BIG B,,,METAL BODY,1,,PCS,VIRAT BANGLORE OFFICE,
203,METAL BODY - CRC DIGITAL,,,METAL BODY,1,,PCS,VIRAT BANGLORE OFFICE,
204,METAL BODY - DOL METAL (VIRAT),,,METAL BODY,1,,,,
205,METAL SOLDERING WIRE,,,METAL SOLDERING WIRE,500,,KG,MAULI KRUPA,
